"15036","D-Mbs","260","43v-44r","nur Esurientes","Agricola, Alexander/Brumel, Antoine","Magnificat (quarti toni)"
"15036","E-SE","s.s.","73v-76r","""Alexander""","Agricola, Alexander/Brumel, Antoine","Magnificat (quarti toni)"
"15037","I-VEcap","758","80v-86r","nur geradzahlige Verse","","Magnificat (quinti toni)"
"15037","PL-Wu","Rps. mus. 58 (olim Breslau Ms. 2016)","64v-70r","","","Magnificat (quinti toni)"
"15038","D-Kl","9","n. 13","nur geradzahlige Verse","Brumel, Antoine","Magnificat (sexti toni)"
"15038","E-Bc","454","94v-98r","""Brumel"", nur geradzahlige Verse und 1","Brumel, Antoine","Magnificat (sexti toni)"
"15038","NL-SH","73","156v-161r","nur geradzahlige Verse","Brumel, Antoine","Magnificat (sexti toni)"
"15039","D-Mbs","3154","123r-125r","Jo. Martini","Martini, Johannes","Magnificat (sexti toni)"
"15040","keine","-","-","-","Dufay, Guillaume ? (Llorens)","Magnificat (sexti toni)"
"15041","BAV","CS 63 (=63005 aber secundi toni!!!)","39v-44r","","","Magnificat (septimi toni)"
"15042","1537/kr","Heyden, Musica","p. 114","nur Agnus III","Weerbeke, Gaspar van","Magnificat (octavi toni)"
"15042","1540/kr","Heyden, De arte","p. 162","nur Agnus III","Weerbeke, Gaspar van","Magnificat (octavi toni)"
"15043","keine","-","-","-","-","Magnificat (octavi toni)"
"15044","BAV","SP B80","224v-226r","","","O beata infantia"
"15044","D-Mbs","3154","4v-6r","","Anonymus","O beata infantia"
"15044","I-TRbc","89","193v-195r (n. 639)","","Anonymus","O beata infantia"
"15045","1508/01","Petrucci","n. 1","""Regis""","Regis, Johannes","Clangat plebs flores theotece"
"15045","BAV","C. VIII. 234 (Chigi Codex)","281v-284r","""Johannes Regis""","Regis, Johannes","Clangat plebs flores theotece"
"15045","BAV","CS 16 (=16011)","152v-156r","""Regis""","Regis, Johannes","Clangat plebs flores theotece"
"15046","BAV","SP B80","226v-228r","","Pullois (Llorens: Anonymus)","Flos de spina procreatur"
"15046","CZ-Pst","47","218v-220r","""piloys Johannes""","Pullois (Llorens: Anonymus)","Flos de spina procreatur"
"15046","I-Md","2269 (Librone 1)","121v-123r","","Pullois (Llorens: Anonymus)","Flos de spina procreatur"
"15046","I-TRbc","90","434v-436r (n. 1122)","","Pullois (Llorens: Anonymus)","Flos de spina procreatur"
"15047","keine","-","-","-","-","Ave Regina coelorum"
"15048","keine","-","-","-","-","Angelorum decoratrix"
"15049","E-SE","s.s.","87v-89r","""Ysaac""","Isaac, Heinrich (Llorens: Anonymus)","Salve virgo sanctissima"
"15050","keine","-","-","-","-","Antonio turma fratrum"
"15051","keine","-","-","-","-","Crucem sanctam subiit"
"15052","1502/01","Petrucci","8v-10r (n. 6)","""Compere""","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15052","1538/01","Rhaw","n. 5","""Compere""","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15052","CH-SGs","463","30v-31r (n. 75)","""Compere""","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15052","F-Pn","1597","61v-63r","","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15052","I-Fn","II.I.232","118v-120r","""Loyset""","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15052","I-VEcap","758","20v-22r (n. 10)","","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15052","PL-Wu","Rps. mus. 58 (olim Breslau Ms. 2016)","147v-148r","","Compère, Loyset (Llorens: Anonymus)","Crux triumphans"
"15053","1547/01","Glarean, Dodecachordon","p. 254-255","nur 1 pars, ""Antonio a Vnnea Traiectensis""","De Vigne, Antoine (Llorens: Anonymus)","Ego dormio et cor meum"
"15053","CH-SGs","463","35v-36r (n. 103)","""Antonius de Vinea""","De Vigne, Antoine (Llorens: Anonymus)","Ego dormio et cor meum"
"15054","1502/01","Petrucci","26v-28r (n. 17)","""Compere""","Compére, Loyset","Sile fragor"
"15054","BAV","C. VIII. 234 (Chigi Codex)","279v-281r","","Compére, Loyset","Sile fragor"
"15054","CZ-HK","7","112r-115r","","Compére, Loyset","Sile fragor"
"15054","E-Bc","454","131v-133r","","Compére, Loyset","Sile fragor"
"15054","I-VEcap","758","17v-19r","","Compére, Loyset","Sile fragor"
"15055","1502/01","Petrucci","28v-31r (n. 18)","""Compere""","Compère, Loyset","Ave Maria - Kyrie eleison"
"15055","1503/01","Petrucci","61v-62r (n. 27)","""Sancta Maria quaesumus""","Compère, Loyset","Ave Maria - Kyrie eleison"
"15055","BAV","C. VIII. 234 (Chigi Codex)","140v-142r","""Loyset cope""","Compère, Loyset","Ave Maria - Kyrie eleison"
"15055","D-B","40021","206v-208r","","Compère, Loyset","Ave Maria - Kyrie eleison"
"15055","E-Bc","454","126v-128r","""Compere""","Compère, Loyset","Ave Maria - Kyrie eleison"
"15055","E-SE","s.s.","110r","2a pars, nur A, B","Compère, Loyset","Ave Maria - Kyrie eleison"
