"","5.0000","vgl. GR, p. 468-470","","SS. Petri et Pauli","In festo apostolorum Petri et Pauli","43v-44v","Proprium","","42","5045",""
"","5.0000","vgl. GR, p. 470-471","","Commemoratio S. Pauli","In commemoratione sci Pauli","45r-47r","Proprium","","43","5046",""
"nur Verweise","5.0000","vgl. GR, p. 477","","SS. Processi et Martiniani","In scorum mrum P.cessi et Martiniani","47r","Proprium","","44","5047",""
"nur Verweise","5.0000","vgl. GR, p. 477","","Visitatio BMV","In festo visitationis virgis Marie","47r","Proprium","","45","5048",""
"nur Verweise","5.0000","vgl. GR, p. 483","","SS. Petri et Pauli octava","In octava apostolorum Petri et Pauli","47r","Proprium","","46","5049",""
"nur Verweise","5.0000","vgl. GR, p. 484-485","","SS. Septem Fratrum et SS. Rufinae ac Secundae","In scorum septem fratrum et sanctarum Rufine et Secunde vginum et mrum","47r-47v","Proprium","","48","5050",""
"nur Verweise","5.0000","vgl. GR, p. 492","","S. Praxedis","In sce Praxedis vgis et mris","47v","Proprium","","49","5051",""
"nur Verweise","5.0000","vgl. GR, p. 492","","S. Mariae Magdalenae","In sce Marie Magdalene","47v","Proprium","","50","5052",""
"nur Verweise","5.0000","vgl. GR, p. 492","","S. Apollinaris","In sci Appolenare epi","47v","Proprium","","51","5053",""
"nur Verweise","5.0000","vgl. GR, p. 494","","SS. Abdon et Sennen","In scorum mrum Abdon et Senen","47v","Proprium","","52","5054",""
"","5.0000","vgl. GR, p. 496-497","","S. Petri ad vincula","In sci Petri ad vincula","47v-48v","Proprium","","53","5055",""
"nur Verweise","5.0000","vgl. GR, p. 503","","S. Stephani","In sci Steph.i pp et m.","48v","Proprium","","54","5056",""
"nur Verweise","5.0000","vgl. GR, p. 503","","Inventio S. Stephani","In inventione sci Stephani ptomartiris","48v","Proprium","","55","5057",""
"nur Verweise","5.0000","vgl. GR, p. 506","","SS. Xysti II., Felicissimi et Agapiti","In scorum mrum Syxti Felicissimi et Agabiti","48v","Proprium","","56","5058",""
"nur Verweise","5.0000","vgl. GR, p. 506","","S. Donati","In sci Donati epi","48v","Proprium","","57","5059",""
"nur Verweise","5.0000","vgl. GR, p. 506-507","","SS. Cyriaci, Largi et Smaragdi","In scorum martirum Ciriaci Largi et Smaragdi","48v","Proprium","","58","5060",""
"","5.0000","vgl. GR, p. 508-509","","S. Laurentii vig.","In vigilia sancti Laurentii","48v-51r","Proprium","","59","5061",""
"","5.0000","vgl. GR, p. 510-512","","S. Laurentii","In festo sci Laurentii","51r-53r","Proprium","","60","5062",""
"nur Verweise","5.0000","vgl. GR, p. 512","","SS. Hippolyti et Cassiani","In scorum mrum Ipoliti et sotiorum eius","53r-53v","Proprium","","61","5063",""
"nur Verweise","5.0000","vgl. GR, p. 512","","Assumptio BMV vig.","In vigilia assumptionis virginis Mariae","53r","Proprium","","62","5064",""
"","5.0000","vgl. GR, p. 513-515","","Assumptio BMV","In die assumptionis beate Marie virgis","53v-55v","Proprium","","63","5065",""
"","5.0000","vgl. GR, p. 516-517","","S. Laurentii octava","In octavam sci Laurentii","55v-56r","Proprium","","64","5066",""
"nur Verweise","5.0000","vgl. GR, p. 517","","S. Agapiti","In sci Agabiti","56r-56v","Proprium","","65","5067",""
"nur Verweise","5.0000","vgl. GR, p. 518","","SS. Timothei, [Hippolyti] et Symphoriani","In scorum mrum Timothei et Simphoriani","56v","Proprium","","66","5068",""
"nur Verweise","5.0000","vgl. GR, p. 518-519","","S. Bartholomaei","In sci Bartholomi apostoli","56v","Proprium","","67","5069",""
"nur Verweise","5.0000","vgl. GR, p. 520","","S. Augustini episcopi","In sci Augustini epi","56v","Proprium","","68","5070",""
"nur Verweise","5.0000","vgl. GR, p. 520-521","","Decollatio S. Johannis Baptistae","In decollatione sci Joh.is bapt.","56v","Proprium","","69","5071",""
"nur Verweise","5.0000","vgl. GR, p. 521","","SS. Felicis et Adauctis","In scorum mrum Felicis et Audacti","56v","Proprium","","70","5072",""
"","5.0000","vgl. GR, p. 522","","Nativitas BMV","In nativitate virginis Marie","56v-60r","Proprium","","71","5073",""
"nur Verweise","5.0000","vgl. GR, p. 523","","S. Gorgonii","In sci Georgii mris","60r","Proprium","","72","5074",""
"nur Verweise","5.0000","vgl. GR, p. 523","","SS. Proti et Hyacinthi","In scorum mrum P.ti et Iacinti","60r","Proprium","","73","5075",""
"","5.0000","vgl. GR, p. 523-524","","Exaltatio S. Crucis","In exalt.ione sce crucis","60r-62r","Proprium","","74","5076",""
"nur Verweise","5.0000","vgl. GR, p. 524","","S. Nicomedis","In sci Nicomedis martiris","62r","Proprium","","75","5077",""
"nur Verweise","5.0000","vgl. GR, p. 528","","S. Matthaei vig.","In vigl. sci Matthei apli","62v","Proprium","","76","5078",""
"nur Verweise","5.0000","vgl. GR, p. 528","","S. Matthaei","In die sci Matthei apostoli","62v","Proprium","","77","5079",""
"nur Verweise","5.0000","vgl. GR, p. 529","","SS. Cosmae et Damiani","In scorum mrum Cosme et Damiani","62v","Proprium","","78","5080",""
"","5.0000","vgl. GR, p. 529-533","","Dedicatio S. Michaelis","In dedicatione sci Michael","62v-67r","Proprium","","79","5081",""
"nur Verweise","5.0000","vgl. GR, p. 537","","S. Callixti","In sci Calixti pp et martiris","67r","Proprium","","80","5082",""
"nur Verweise","5.0000","vgl. GR, p. 538","","S. Lucae","In sci Luce evangeliste","67r","Proprium","","81","5083",""
"nur Verweise","5.0000","vgl. GR, p. 541","","SS. Simonis et Judae vig.","In vigil. aplorum Symonis et Jude","67r","Proprium","","82","5084",""
"nur Verweise","5.0000","vgl. GR, p. 541-542","","SS. Simonis et Judae","In festo Simonis et Jude","67r-67v","Proprium","","83","5085",""
"nur Verweise","5.0000","vgl. GR, p. 542","","Omnium Sanctorum vig.","In vigilia omnium sanctorum","67v","Proprium","","84","5086",""
"","5.0000","vgl. GR, p. 543-545","","Omnium Sanctorum","In festivitate omnium sanctorum","67v-68v","Proprium","","85","5087",""
"nur Verweise","5.0000","nicht in GR oder LU","","SS. Quatuor Coronatorum","In scorum quatuor coronatorum","69r","Proprium","","86","5088",""
"","5.0000","vgl. GR, p. 547","","S. Martini episcopi","In sci Martini epi et cfess.","69r-69v","Proprium","","87","5089",""
"nur Verweise","5.0000","vgl. GR, p. 550-551","","S. Caeciliae","In sce Cecilie","69v","Proprium","","88","5090",""
"","5.0000","vgl. GR, p. 551-552","","S. Clementis","In sci Clementis pp et mris","69v-70v","Proprium","","89","5091",""
"","5.0000","vgl. GR, p. [1]-[2]","","Commune unius apostoli vig.","In vigilia unius apostoli","71r-72r","Proprium","","90","5100",""
"nur Verweise","5.0000","nicht in GR","","Commune plurimorum apostolorum vig.","In vigilia plurimorum apostolorum","72r","Proprium","","91","5101",""
"","5.0000","als solches nicht in GR","","Commune apostolorum","In nativit. omnium apostolorum","72r-80v","Proprium","","92","5102",""
"nur Verweise","5.0000","vgl. GR, p. [2]-[8]","","Commune unius martyris pontificis","In nativitate unius martiris pontificis","81r","Proprium","","93","5103",""
"","5.0000","vgl. GR, p. [9]-[14]","","Commune unius martyris non pontificis","In nat. unius mris non pont.","81r-94r","Proprium","","94","5104",""
